port_id,port_name
port1148,Sandnessjøen
port1149,Sandusky
port1151,Sanshandaocun
port1152,Santa Cruz De La Palma
port1153,Santa Cruz De Tenerife
port1154,Santa Marta
port2167,Santa Panagia
port1155,Santander
port1156,Santiago De Cuba
port1158,Santo Domingo
port1160,Santos
port1161,Sao Francisco
port1163,Sao Tome
port1165,Sapele
port1166,Sarnia
port1167,Sarroch Oil Terminal
port2175,Sasebo
port1168,Sassnitz
port1169,Sauda
fso158,Saudi Arabia - Offshore Oil Terminal 1
port1170,Savannah
port1171,Savona
port2081,Savusavu
port1173,Sayda
port1174,Searsport
port1175,Seattle
port1176,Seghe
port1177,Sekondi
port1178,Sekupang
port1179,Semarang
port1180,Sendai-Shiogama
fso159,Senegal - Offshore Oil Terminal 1
fso160,Senegal - Offshore Oil Terminal 2
port1181,Sept Iles
port1182,Serangoon Harbor
port1183,Sete
port1184,Setubal
port1185,Seville
port1186,Shala Pristan
port1188,Shanghai
port2027,Shanghai (Yangshan)
port1187,Shantou
port1189,Shekou (Shenzhen)
port1190,Shibushi
port1191,Shidao Newport
port1192,Shijing Longxiang
port1193,Shimizu
port1194,Shoreham Harbour
port1195,Shougang Jingtang
port2067,Shuaiba
port1196,Shui Dong
port2218,Shuqaiq
port2036,Siam Seaport
port1198,Sibolga
port2129,Sidi Kerir
port1199,Sikka
port2133,Sillamae
port1200,Sines
port1201,Singapore
fso161,Singapore - Offshore Oil Terminal 1
port1202,Sint Nicolaas Baai
port1203,Sitrah
port1204,Skagen
port1205,Skelleftehamn
port1206,Skhira
port1015,Skoldvik
port1207,Skutskär
port1208,Slagentangen
port2214,Slavyanka
port1211,Songkhla
port1212,Souda (Chania)
port1213,Sousse
port1214,South Louisiana
port2097,South Riding Point
port1216,Southampton
port1217,Soyo Angola LNG Terminal
port1218,Split
port1222,St Nazaire
port2140,Stade
port1224,Stagen
port1225,Stavanger
port1226,Steinkjer
port1227,Stenungsund
port2125,Stigsnaes
port1228,Stockholm
port1229,Stockton
port1230,Stora Jatterson
port2068,Stralsund
port1231,Stura
port1172,Suakin
port2230,Suao
port1232,Subic Bay
port2069,Sullom Voe
port1233,Sundaomen Wuz
port1234,Sunderland
port1235,Sundsvall
port2155,Sungai Pakning
port2206,Supe
port2139,Supsa
port1237,Surabaya
port1238,Surigao City
port1239,Susaki
port1240,Suva
port1253,Suzhou (Taicang)
port1425,Suzhou (Zhangjiagang)
port1241,Swanport
port1242,Swinoujscie
port1243,Sydney
port1245,Sydney
port1246,Szczecin
port1162,São Sebastião
port1209,Södertälje
port1210,Sölvesborg
port2200,Taboguilla
port1247,Tachibana
port1248,Tacoma
port1249,Taganrog
port1250,Tagonoura
port1252,Taichung
port1261,Taipei
port1254,Takamatsu
port1255,Takoradi
port1256,Takuma
port1257,Talara
port2106,Talcahuano
port1258,Tallinn
port1259,Tampa Port
port1260,Tampico
port2194,Tan Tan
port1262,Tanah Merah
port1263,Tananger
port2231,Tanga
port1265,Tangier-Mediterranean
port1266,Tangshan (Jingtang)
port1267,Tanjung Benete
port1268,Tanjung Geren
port1269,Tanjung Pelepas
port1272,Tanjung Redeb
port1270,Tanjung Sangata
port1271,Tanjung Sekong
port1273,Tanjunguban
port1275,Taranto
port2166,Tarbert
port1277,Tarragona
port2227,Tartous
port1278,Tauranga
port2192,Tawau
port1279,Teesport
port1280,Tekirdag
port1281,Teluk Bayur
port1282,Tema
port1283,Temryuk
port1284,Terneuzen
port1285,Texas City
port1286,Tg Mani
port1287,Tg. Sorong
fso162,Thailand - Offshore Oil Terminal 1
fso163,Thailand - Offshore Oil Terminal 2
fso164,Thailand - Offshore Oil Terminal 3
fso165,Thailand - Offshore Oil Terminal 4
fso166,Thailand - Offshore Oil Terminal 5
port1289,Thamesport
port1290,Thamshamm
port1288,Thathong
port1293,Thessaloníki
port1294,Thevenard
port1295,Thunder Bay
port1296,Thyboron
port1297,Tianjin Xin Gang
port1298,Tilbury
port1299,Timaru
fso167,Timor-Leste - Offshore Oil Terminal 1
port1300,Tinian
port1301,Toamasina
port1302,Tocopilla
port1303,Tokachi
port1304,Tokuyama
port1305,Tokyo
port1306,Toledo
port1308,Tomakomai
port1310,Topolobampo
port1311,Torneå
port1312,Toronto
port1313,Toros Gubre
port2171,Torre Annunziata
port1314,Torrevieja
port1315,Townsville
port1316,Trabzon
port2015,Trapani
port1317,Trelleborg
port1318,Trieste
port1319,Trincomalee
port1274,Tripoli
port1320,Trois Rivieres
port1321,Tromsø
port1322,Trondheim
port1323,Tsingéli
port1324,Tsukumi
port1325,Tsuruga
port1326,Tuapse
port1327,Tuban
port1328,Tubarao
port2006,Tulcea
port1307,Tulear (Toliara)
port2119,Tumaco
port1329,Tunis
fso168,Tunisia - Offshore Oil Terminal 1
port1330,Turkmenbashi Port
port1331,Tuticorin
port1332,Tuxpan
port1333,Two Harbors
port1334,Tynemouth
port1335,Ube
port1337,Uleelheue
port1338,Ulsan
port1339,Umea Hamn
port1341,Umm Qasr
port1340,Umm al Qaiwain
fso169,United Kingdom - Offshore Oil Terminal 1
fso170,United Kingdom - Offshore Oil Terminal 2
fso171,United Kingdom - Offshore Oil Terminal 3
fso172,United Kingdom - Offshore Oil Terminal 4
fso173,United Kingdom - Offshore Oil Terminal 5
fso174,United Kingdom - Offshore Oil Terminal 6
fso175,United States - Offshore Oil Terminal 1
port1343,Uno
port2071,Ust-Danube
port1095,Ust-Luga
port1344,Uturoa
port1345,Uwajima
port1346,Vaasa
port1083,Vado Ligure
port1348,Valencia
port1349,Valletta
port1350,Vancouver
port1351,Vancouver
port1352,Vanimo
port187,Vanino
port1353,Varberg
port1354,Varkaus
port1355,Varna
port2169,Vasto
fso176,Venezuela - Offshore Oil Terminal 1
port1357,Ventspils
port1358,Veracruz
port1360,Victoria
port1361,Victoria
fso177,Vietnam - Offshore Oil Terminal 1
fso178,Vietnam - Offshore Oil Terminal 2
fso179,Vietnam - Offshore Oil Terminal 3
port1362,Vieux Fort
port1363,Vigo
port1364,Vikanes
port2046,Vila Do Conde
port1365,Villagarcia De Arosa
port1366,Villanueva
port1367,Visakhapatnam
port1368,Vitoria
port2150,Vizhinjam
port1369,Vladivostok
port1370,Vlissingen
port1371,Vlora
port1372,Voh
port1373,Volos
port1374,Vostochnyy
port1375,Vung Tau
port1376,Vyborg
port1356,Västerås
port1377,Waingapu
port1379,Wakayama-Shimotsu
port1380,Wallaroo
port2070,Wallhamn
port1381,Walvis Bay
port1382,Warren Point
port1383,Warri
port1384,Waterford
port1385,Weifang Port
port1386,Weihai
port1387,Weipa
port1388,Wellington
port1390,Wenzhou
port1391,Western Port
port1392,Wewak Harbor
port1395,Whyalla
port1396,Wilhelmshaven
port1397,Willemstad
port1398,"Wilmington, DE"
port1399,"Wilmington, NC"
port1400,Wisbech
port1401,Wismar
port1402,Workington
port2096,Wyndham
port1403,Xiagong
port1404,Xiamen
port1405,Xiuyu
port1406,Yakacik
port1407,Yalova
port1408,Yanbu (Yanbu city)
port1086,Yangon
port1409,Yangpu
port1410,Yantai
port1414,Yantian
port2034,Yarimca
port1411,Yatsushiro
port1412,Yawatahama
port1413,Yeysk
port1415,Yingkou
port1416,Yokkaichi
port1417,Yokohama
port1418,Yokosuka
port2122,Zadar
port1420,Zamboanga
port1421,Zanzibar
port1422,Zarate
port1423,Zarzis
port1424,Zeebrugge
port2131,Zeit Bay
port1426,Zhanjiang
port1427,Zhapu
port1428,Zhouliwang
port1429,Zhoushan
port2112,Zhuhai
port2235,Zirku Island
port1430,Zonguldak
port1,Åbenrå
port11,Åhus
